tconst,director,id,popularity
tt7991608,Rawson Marshall Thurber,512195,3.205
tt10696896,Tom McCarthy,616651,5.257
tt10696896,Tom McCarthy,616651,5.257
tt12536294,Pablo Larraín,716612,8.812
tt10944760,Julia Ducournau,630240,6.173
tt6857376,Fisher Stevens,458220,20.726
tt6341832,Alexandre Aja,471498,4.035
tt6334354,James Gunn,436969,13.995
tt10676012,Michael Fimognari,614409,1.672
tt6264654,Shawn Levy,550988,18.459
tt0870154,Jaume Collet-Serra,451048,3.778
tt6566576,Leigh Janiak,591273,1.274
tt6473066,Justin Baldoni,630566,20.095
tt6473066,Justin Baldoni,630566,20.095
tt6587640,Walt Dohrn,446893,4.141
tt3794354,Jeff Fowler,454626,5.318
tt5198068,Tomm Moore,441130,3.13
tt5198068,Ross Stewart,441130,1.166
tt5198068,Tomm Moore,441130,3.13
tt5198068,Ross Stewart,441130,1.166
tt6878306,Paul Greengrass,581032,2.08
tt6598238,Mitja Okorn,447362,1.72
tt2850386,Joel Crawford,529203,3.059
tt6723592,Christopher Nolan,577922,37.109
tt6723592,Christopher Nolan,577922,37.109
tt5843876,Richard Tanne,621013,0.946
tt10919380,Christopher Landon,551804,3.07
tt1070874,Aaron Sorkin,556984,6.3
tt1070874,Aaron Sorkin,556984,6.3
tt1051906,Leigh Whannell,570670,6.746
tt1051906,Leigh Whannell,570670,6.746
tt9893250,J Blakeson,601666,2.769
tt9354842,Michael Fimognari,565426,1.672
tt9580138,Ethan Spaulding,664767,0.971
tt8936646,Sam Hargrave,545609,5.638
tt8936646,Sam Hargrave,545609,5.638
tt9484998,Max Barbakow,587792,1.152
tt9484998,Max Barbakow,587792,1.152
tt9214832,Autumn de Wilde,556678,2.08
tt9214832,Autumn de Wilde,556678,2.08
tt7488208,Glen Keane,560050,2.75
tt7488208,Glen Keane,560050,2.75
tt13143964,Jason Woliner,740985,1.102
tt13143964,Jason Woliner,740985,1.102
tt10404944,Cédric Jimenez,637534,2.188
tt7638348,Joe Carnahan,513310,2.945
tt6048922,Aaron Schneider,516486,1.083
tt7504726,Chris Sanders,481848,14.609
tt7556122,Gina Prince-Bythewood,547016,2.225
tt8633478,Aneesh Chaganty,546121,1.929
tt10276470,Laura Terruso,612706,0.99
tt10272386,Florian Zeller,600354,5.448
tt9770150,Chloé Zhao,581734,7.133
tt7939766,Charlie Kaufman,500840,4.424
